name,distance,fixes_percent
fs/ceph,3,2.635958835
fs/btrfs,1,5.598481025
fs/9p,1,4.236155029
fs/fuse,11,10.45915955
fs/hfsplus,3,3.571428571
fs/nfs/blocklayout,1,7.176870747
fs/nfs/flexfilelayout,2,6.560846561
fs/nfsd,3.5,3.473187298
fs/ocfs2,1.5,6.385744292
fs/proc,4,6.385484799
fs/sysfs,6,3.716233936
fs/ubifs,1,13.97445006
fs/udf,1,2.949235708
kernel/bpf,2.333,25.0458808
kernel/events,1.4,7.368395193
kernel/irq,1,14.9211035
kernel/locking,2,8.378861304
kernel/sched,4.857,8.528066408
kernel/trace,1,14.44197958
net/bluetooth,1,1.400029719
net/bridge,2,13.07351291
net/caif,5,6.158357772
